capacity_mw,latitude,longitude,Fuel Type,commissioning_year,geolocation_source,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017
19.8,10.7245,77.1893,1,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
13.2,14.4791,76.3482,1,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
5.0,27.3473,71.6917,3,1996.876893939394,0,2414.072373401681,2453.9362918708252,2531.7544577527997
5.0,27.36,71.6918,3,1996.876893939394,0,2414.072373401681,2453.9362918708252,2531.7544577527997
5.0,27.3632,71.6918,3,1996.876893939394,0,2414.072373401681,2453.9362918708252,2531.7544577527997
5.0,27.3661,71.6916,3,1996.876893939394,0,2414.072373401681,2453.9362918708252,2531.7544577527997
5.0,27.3537,71.6917,3,1996.876893939394,0,2414.072373401681,2453.9362918708252,2531.7544577527997
5.0,27.3504,71.6918,3,1996.876893939394,0,2414.072373401681,2453.9362918708252,2531.7544577527997
5.0,27.3566,71.6917,3,1996.876893939394,0,2414.072373401681,2453.9362918708252,2531.7544577527997
200.0,13.0977,80.2695,2,1998.0,2,0.0,0.0,0.0
705.0,28.506,77.3066,0,1977.0,2,2013.0,1511.0,1395.0
28.0,16.2804,75.225,0,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
450.0,33.1815,75.3155,1,2008.0,2,2985.1393,2173.6372,2494.17645
450.0,21.196188863109047,77.44784779582368,1,2015.0,2,55.322,1750.1851,1812.84025
180.0,32.8063,76.1418,1,1980.0,2,741.8620500000001,665.9833500000001,638.52135
1050.0,23.8285,87.4513,0,2003.0,2,5979.125,6341.202,6779.256
600.0,21.196188863109047,77.44784779582368,0,2015.0,2,1437.9547,2800.0,2120.68
510.0,18.1396,82.1221,1,1984.0,2,618.9099,996.3731,1469.80405
67.5,19.8601,79.3421,0,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
10.0,24.6929,74.689,0,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
300.0,22.3421,82.4305,0,2015.0,2,196.7602,1290.33,2018.79
455.0,22.9956,88.4042,0,1973.0,2,948.831,1668.631,1713.201
12.0,32.1686,76.4695,1,1996.0,2,2414.072373401681,2453.9362918708252,2531.7544577527997
315.0,24.1917,81.2875,1,1991.0,2,571.6076,1232.8249,542.64315
30.0,24.1917,81.2875,1,2002.0,2,106.9426,109.18135,55.8394
60.0,24.1917,81.2875,1,2001.0,2,39.680600000000005,53.2126,68.45599999999999
20.0,24.223,81.2747,1,2006.0,2,2414.072373401681,2453.9362918708252,2531.7544577527997
20.0,23.6026,74.2562,0,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
1200.0,21.9114,83.1889,0,2014.0,2,2316.1072,6773.788,6153.76
42.0,23.807,91.565,1,2006.0,2,231.626436,187.1936693391032,178.10669
720.0,25.3999,86.0218,0,2007.0,2,0.0,120.90364,34.7098
90.0,22.9417,79.925,1,1988.0,2,326.45950000000005,443.24265,158.25475
1320.0,25.4865,85.7452,0,2014.0,2,4056.0,7177.0,8778.0
90.0,28.4723,79.8066,0,2011.0,2,306.379,354.9,171.355
250.0,27.8453,73.2,0,2010.0,2,1165.318,1274.999,1436.072
120.0,13.1021,80.2682,1,1996.0,2,8.29591247299784,10.46898,5.85771
300.0,31.4306,78.241,1,2003.0,2,1297.9775,1336.03625,1329.9667500000005
64.0,31.9546,76.7986,1,1973.0,2,314.3205,296.2712,313.59415
5.0,21.196188863109047,77.44784779582368,1,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
